sample	sex	superpopulation
grch38	male	REFERENCE
chm13	male	REFERENCE
hg002	male	REFERENCE
GM18501	male	AFR
GM18519	male	AFR
GM18856	male	AFR
GM18861	female	AFR
GM18864	female	AFR
GM18865	male	AFR
GM18871	male	AFR
GM18876	female	AFR
GM18924	female	AFR
GM19035	male	AFR
GM19041	male	AFR
GM19308	male	AFR
GM19312	male	AFR
GM19462	female	AFR
GM19471	female	AFR
GM19473	female	AFR
HG00105	male	EUR
HG00110	female	EUR
HG00121	female	EUR
HG00127	female	EUR
HG00136	male	EUR
HG00151	male	EUR
HG00331	female	EUR
HG00410	female	EAS
HG00473	female	EAS
HG00525	female	EAS
HG00599	female	EAS
HG00631	male	EAS
HG00675	female	EAS
HG00705	female	EAS
HG00706	male	EAS
HG00728	male	EAS
HG01046	female	EAS
HG01122	female	AMR
HG01281	female	AMR
HG01312	female	AMR
HG01363	female	AMR
HG01369	female	AMR
HG01372	female	AMR
HG01395	male	AMR
HG01414	female	AMR
HG01468	female	AMR
HG01501	female	EUR
HG01615	male	EUR
HG01695	female	EUR
HG01790	female	EUR
HG01797	female	EAS
HG01801	female	EAS
HG01812	female	EAS
HG01862	female	EAS
HG02048	female	EAS
HG02051	male	AFR
HG02102	female	AMR
HG02185	female	EAS
HG02252	female	AMR
HG02262	male	AMR
HG02282	female	AFR
HG02312	female	AMR
HG02345	female	AMR
HG02373	male	EAS
HG02389	male	EAS
HG02396	male	EAS
HG02409	male	EAS
HG02502	female	AFR
HG02614	female	AFR
HG02615	female	AFR
HG02694	female	SAS
HG02731	female	SAS
HG02817	female	AFR
HG02974	female	AFR
HG02979	female	AFR
HG03022	female	SAS
HG03069	male	AFR
HG03120	male	AFR
HG03121	female	AFR
HG03168	female	AFR
HG03279	female	AFR
HG03499	female	AFR
HG03548	female	AFR
HG03563	female	AFR
HG03571	male	AFR
HG03631	female	SAS
HG03643	female	SAS
HG03646	male	SAS
HG03668	female	SAS
HG03717	female	SAS
HG03731	female	SAS
HG03744	male	SAS
HG03770	female	SAS
HG03774	female	SAS
HG03814	female	SAS
HG03861	female	SAS
HG03864	male	SAS
HG03868	female	SAS
HG03898	female	SAS
HG03919	female	SAS
HG03971	male	SAS
HG04054	female	SAS
HG04063	female	SAS
HG04216	female	SAS
HG01123	female	AMR
HG01258	male	AMR
HG01358	male	AMR
HG01361	female	AMR
HG01891	female	AFR
HG02257	female	AFR
HG02486	male	AFR
HG02559	female	AFR
HG02572	male	AFR
HG03516	female	AFR
HG00438	female	EAS
HG00621	male	EAS
HG00673	male	EAS
HG00735	female	AMR
HG00741	female	AMR
HG01071	female	AMR
HG01106	male	AMR
HG01175	female	AMR
HG01928	male	AMR
HG01952	male	AMR
HG01978	female	AMR
HG02148	female	AMR
HG02622	female	AFR
HG02630	female	AFR
HG02717	male	AFR
HG02886	female	AFR
HG03453	female	AFR
HG03540	female	AFR
HG03579	male	AFR
HG002	male	nan
HG005	male	nan
HG00733	female	AMR
HG01109	male	AMR
HG01243	male	AMR
HG02080	female	EAS
HG02109	female	AFR
HG02145	male	AFR
HG02723	female	AFR
HG02818	female	AFR
HG03486	female	AFR
HG03492	male	SAS
NA18906	female	AFR
NA19240	female	AFR
NA20129	female	AFR
NA21309	female	AFR
HG02055	male	AFR
HG03098	male	AFR
